ID_Penjualan,ID_Produk,ID_Toko,tanggal_penjualan,kuantitas_penjualan,harga_penjualan,wilayah_penjualan
ceae5a3f-ac08-4812-aca9-8ef416aa856d,6f50854d-46b9-4cd4-aba6-3e13898546c4,9da0461f-65a5-45cd-9901-446cf61500f2,2024-04-27,37,24.42,New Veronica
bd3c7483-235c-4bcf-8d6f-91200ac7cbff,e0ca2c0e-2012-4308-a2ef-2b9785afba8a,b74fe7d7-a105-4e54-84d6-400c2288076a,2024-04-25,75,167.78,Robertchester
95602014-2329-45d2-abcc-d3ac43ea35d0,62aebe1e-fff7-48c4-a0ba-a9c699c7d95a,6149dd2e-f30e-4ecf-9a51-5cfde4055f4d,2024-04-09,59,194.14,East Williamburgh
d18ef6bc-16e4-4b6d-ace2-d6ae22276b56,7f145d29-9ec4-4011-876f-56aaf46fa72a,44b46539-7f58-4130-ac56-71c31b219711,2024-01-15,10,97.12,Davidberg
3a8f83e6-7d07-4f48-87fd-b85993fceae8,07c3ded4-b9f4-4b14-b8b8-39557eb18b4b,2800978c-4398-416d-9323-5b117bc07906,2024-03-19,96,194.52,West Kathryn
9f3cc7f2-f455-4bd5-a013-0e874208e46a,6aa08318-1c3a-4426-8709-eb3b87ee389b,8ea7ce39-8d23-46c6-9df2-0d38e3bcf9ad,2024-04-21,7,23.4,Joshuaview
e5e6fd30-9c9f-44b2-9fe0-843d2289c110,cc77a9e7-8839-43d7-909e-8ae2febdcbc3,fc2fd9d3-130c-477b-a158-69427b9ae399,2024-04-08,13,195.3,Williamstad
44e7c4e0-8c3b-4e99-a3fd-4330431fb512,4fade9a1-d176-4420-aa8c-44ff63408d9a,71daeeab-11a9-4c9c-bb9f-d6e7c99f9870,2024-01-02,46,88.86,Port Douglas
e9ed54ca-860e-4792-a088-b37ddca3862a,b257a2eb-5857-4f1d-b157-c44c3df41ab7,711acf28-46b3-4f6d-9b70-5cd4e8e9810d,2024-04-07,33,194.3,North Jill
e2407ff4-d0f0-417a-9d5c-41ab617fa778,6d6cfbfa-1938-4957-9c1d-6561bd5be513,8e34ab3e-6fe4-4346-958c-a8b52a8fc540,2024-01-23,35,65.26,Nelsonbury
fa2462b6-ce8f-4d9a-aa7a-b04e93c780b4,1ee87875-d8ac-44de-ba4d-386cc7d2f342,74eb52a8-fdf5-4ced-a04d-0108e5179370,2024-04-03,86,42.0,Danielsfort
0dbd802d-46cc-4cc8-a81d-57d74ac98da8,7ba3a98a-7cf8-4c38-b372-51647c1a771f,be77c77c-039d-4deb-8951-f33f2ca42e52,2024-01-05,23,54.0,New Amyton
1ba8ea74-4662-4d45-9d9a-2e11852ad66a,32963e58-c126-443a-a82f-222c84f6914a,9b738167-f2f6-4260-8e58-f2f2467164fa,2024-04-05,97,155.08,Watsonfort
c8005e3b-aeef-4983-9036-0b7af04b1cfa,d4da76b8-830d-4dbf-8da9-ae7bc3582677,ba9a5512-79cc-4c18-b8ee-798d94677580,2024-05-18,38,98.49,North Alex
9fce96fc-be8f-445b-a7e9-4ce20fdceb8b,d85cc780-557c-4bbf-b270-0e6d8422cf3c,c1e6eacc-cc5a-4edc-ad35-a9859ad6f5c6,2024-01-28,84,142.39,Lindseyview
572fe194-54da-4f26-93da-15b1e302dd0c,6007ce43-854d-42be-ad84-9e5e2fca537e,e43b5421-5a96-443e-9e13-718749819841,2024-03-13,61,196.72,West Julieton
c649ff8c-fe99-4683-91b8-7dacf19a8e9f,d3f26563-039f-4c77-a4e5-04acb15b9319,222be658-ca40-475b-96a1-a19b50cb8749,2024-01-07,66,147.88,South Danielview
83471926-ae3d-40a1-9e44-5934f6ebce35,35a2b15a-a141-49fa-814e-1338d266069a,4c7dd8a3-7134-4915-b55c-a4a3be1b2b58,2024-04-03,70,73.95,Darrylfurt
f486ec79-a404-4712-8f1d-d96b5f8bf1ea,a257ff98-546f-4439-856f-9e62328ac137,bea03c0e-541d-4da0-a80f-c508e00a77b1,2024-04-16,90,197.96,North Michaelstad
fff5d6c1-0c4e-4c24-9c0e-91cac4defdb1,14635c0f-d261-4cb6-bf6d-3cc4fa1e8cd1,af9223c4-9dc0-44bb-abe1-5e34135f514c,2024-04-13,83,74.39,Davidville
f748ebaa-eb83-47d9-ba42-b38f94d2667e,81b8f00a-0f1c-4a54-83d0-bd0fb8646975,da959091-e391-45bc-b879-708ecfa8080f,2024-01-10,42,46.14,West Michael
8cb94de3-adb1-4fe8-9dc5-4e14cb8fde96,27b443b2-d421-4545-a52a-4f94a62368b5,a19dae38-4918-4b97-bde3-d28c7ea4c088,2024-03-01,79,129.0,Gonzalezberg
b227306d-aa24-4542-866c-dd70a648a54a,1efadeb1-b888-47f6-a87b-2239b289265d,761a9fcd-f384-49af-b74a-70aa132b2bd1,2024-02-25,62,82.96,North Eric
26b95acc-5742-4ca6-8407-9ec55f7ad57a,51b8df88-4539-4452-b471-411d7b8ee811,fc2fd9d3-130c-477b-a158-69427b9ae399,2024-04-06,74,73.72,Susanmouth
e83a4b19-7529-40f8-b82a-d2a8fa7ab657,a5d9789d-0938-4a7d-80d9-49994c59a22f,7a55edc4-9728-4f71-83c2-547d46fe1cff,2024-05-01,98,146.63,Lake Christineborough
87464c6c-a0da-475b-8ea0-7ddfadde205f,a8fb816d-c879-49e3-9185-fc06e19f1255,13eeab8a-24fd-4ff0-b697-37a44e7b2d36,2024-02-21,10,78.83,New Patriciatown
d6144463-7dae-4488-a941-657ec9981288,7965fb13-4179-4f4f-85a0-27e2a6c156a9,2a2047a7-93a8-40f7-99ad-c33e0c1d8c6f,2024-01-22,99,60.81,Johnsonville
dd8ce446-2121-45a4-bb25-ef6d5f4fa05a,e3d3b4bb-38d8-4389-9709-4cfed66bc6e1,1a5813b3-de16-44d8-b571-3914f6aa9276,2024-03-23,79,81.35,South Shawnbury
8721a58d-2090-4462-8eb7-803f96ce91ab,02d1856d-d9b0-41a2-a0bb-542f080bcaba,dfc8a73a-1601-487c-944c-8e1f29848a82,2024-04-30,46,28.56,Grantton
63a50758-04a8-45af-9abf-6c31f304c951,b8b2068d-6a30-47ca-a383-b68da1e17945,0128d841-1eeb-47c3-a659-ecb94c527e15,2024-03-29,38,115.24,West Joseph
b1fe4437-8047-482e-b59c-6bb5196fd77b,d4184eff-58b1-4080-aa8f-307b0f53f310,2ce8fb4f-80cd-411b-9329-ae7db2937939,2024-04-10,59,20.63,Juliestad
91b22cad-3915-4f08-a83e-3bd3c8dca6d9,09b18687-17cd-466e-a2e1-8a5921ad527e,9f128803-0c31-46e5-a9d8-aea62db1a3c6,2024-03-16,75,20.59,Casechester
45389a28-7ea1-4069-8207-5e1f4aedc3d4,96223a67-2a2c-4b9c-ab09-60861eff2483,297f10ee-0577-4b8b-9332-589107d9d544,2024-01-04,23,43.64,Port Ryan
8496765b-ceb4-41ff-b22d-e613fe8602f2,c7afb4eb-87c3-4459-a98f-3bc8a318bc35,ddb2dc97-5ad0-4437-b77f-bcc2a072bc10,2024-03-04,80,77.35,East Sarah
625452d6-b48a-4059-9108-da46b5650b3a,d85cc780-557c-4bbf-b270-0e6d8422cf3c,c46e0b6e-dd93-42c4-b4f7-3e70547486eb,2024-02-16,51,175.21,North Derektown
7bedd90c-a5c4-48c5-9a4b-efbce9066f3a,df9258e0-617a-4369-a6c7-ce7b9770feb2,212ba80e-d7cd-4764-867d-f61690188b9b,2024-04-26,25,111.27,Garciaside
fed1f31f-eaf8-4be4-8f22-f53fe2f76aa5,1ea20831-a3fa-4422-90fe-a70b1a5bb655,0776c002-be95-4d43-8c65-b9d37f27bfec,2024-03-13,89,22.01,North Larry
7837451e-ba73-4652-9b43-a6b673722236,9c5e92d4-b5c9-4aa0-aee7-d39dfc469fb1,b1683cbb-8e02-47b4-b3fa-a089b275d153,2024-03-07,77,122.45,Port Jade
4114fdbf-e965-445b-8e24-fdf5f5d1b27c,64156334-b8cf-42e9-8aec-919f3e800be2,2e735791-f7c6-4416-8758-f919645f8e43,2024-04-12,78,39.75,Jeffreyland
7ddcf70a-15ee-4be6-96e6-e9afc5dd8f36,8ae04236-2298-4e3f-ad6d-51a6ae1ce0fb,984afadb-b8b8-46da-9a64-aa88009538ad,2024-01-02,86,164.68,East Erin
5e0fb378-c9c8-4b17-a81e-588fa4075976,4228f84b-31ee-471e-8dd4-a2b037dbb800,8bcbe504-282f-4158-9dce-02204c7dcf05,2024-01-04,65,152.34,Karenfort
6bacd91f-1de1-42db-82d9-a628e50a4c67,25e4d698-e318-4644-b5b8-82f1e3daf9a6,9bcc81b4-d2e3-4d71-a3cb-1216d53a29a6,2024-03-01,20,176.47,Thompsonborough
6dde97bb-fc94-4091-94af-db125aacbb77,f6977812-f078-4d09-867f-07b4b2f4b8dd,8bcbe504-282f-4158-9dce-02204c7dcf05,2024-02-23,74,165.43,Melanieside
21939e23-bf46-479a-825c-0ec4e26cf4f2,51abde0c-cdf1-4237-8f9f-5bb6441a8102,ddb2dc97-5ad0-4437-b77f-bcc2a072bc10,2024-04-01,46,83.58,South Jacksonbury
f0232874-4dd6-4d55-9fae-ff4fc68183c5,b0ceea09-3265-49da-9be2-26dfa6556a35,023bb238-4558-4d23-9771-d26d68010e5a,2024-05-06,71,99.56,West Stephanieberg
d9646aa1-ef33-48c7-bcb1-97e670e57587,b8363e8d-2bd2-4b2d-b48c-35a5ce79149e,98de02ba-109a-4d4f-a63c-806a85d79eef,2024-04-01,93,44.87,Perrybury
ba2fbafe-741c-495c-9320-7f1ecb6c208d,aac8989f-7d97-4ee3-8a26-d7551669347b,73d5ccc9-eaf0-4652-8d95-d00e7d7019c6,2024-04-13,96,82.87,East Sydneyberg
06be6c68-360f-4f89-91f8-1d869a1e53b2,43faf652-daad-46f0-a820-947ebc3fa26a,dcb12640-4d3c-48ff-b996-edad8c33fa85,2024-05-19,91,42.47,East Connie
ec5365d6-09d7-47e6-aa60-f2bbeaeec785,f6977812-f078-4d09-867f-07b4b2f4b8dd,da7e8afe-17ec-41cb-ac95-e1c50159cc5d,2024-02-13,46,174.01,New Belinda
5eb7bdee-a8cc-4e5e-a1d2-f5844d431d98,e6314516-3055-4c87-9618-fd3fe0c6a223,6ede403e-850a-4d23-9729-933a836c338b,2024-02-19,75,69.66,Lake Alexside
6da9ac73-924e-4b84-84b8-26cfced3e6b0,54454717-9ed5-4c21-93ca-ee2d1b65e29f,4c018002-840d-4dae-b7ab-e8c4db34de15,2024-03-07,56,59.37,Martinhaven
6b9c8315-6b54-4ce3-982d-f92443765197,aef91323-4132-43df-99b0-8724a1f23392,b99a8d4f-4ecf-4dc3-b277-7c6aaf9702c4,2024-03-16,33,146.57,Henrymouth
b2fefde2-ecd0-4c81-a9c4-6e6ab6d1894c,54454717-9ed5-4c21-93ca-ee2d1b65e29f,b3891c27-fe51-40e1-8805-2c4e7f7871f2,2024-02-24,27,157.9,West Kellyton
6ac09c36-b07c-4f09-a1e0-848163bb3dcd,8c6c64eb-8c75-453e-99b0-bb66a20b321c,9ab0489e-0076-410a-94fa-7e5a261cd231,2024-03-28,82,85.18,Christinastad
c62ca01f-d333-4009-a8ad-d2f0b8860134,972c83d0-877e-4fd1-9b0d-a3fcd8869add,34c46aed-102f-4d85-8c91-dc3b135ededc,2024-01-11,33,140.43,West Sandra
554e7aa8-ff7e-4f50-a04e-0034c51303b0,a9c6a0bc-f9c1-46d8-ac41-71bbe7bd5622,d4268147-a1bc-449e-a95a-8af72cabdaba,2024-05-03,69,120.09,Andersenmouth
de675956-312c-4f5a-b62e-2928db380341,8c6c64eb-8c75-453e-99b0-bb66a20b321c,4e0c6434-3bad-4ee2-ac82-23e069af84b9,2024-04-20,20,101.86,Josephport
f4492a3d-67db-4ee7-8596-e3c43c89dec7,b8363e8d-2bd2-4b2d-b48c-35a5ce79149e,2424107c-ffb7-4d04-996a-e17773fb4c69,2024-03-24,39,138.18,Lake Kristinemouth
1ec0480c-6955-4413-9697-e2a9eaea92f2,feaee30e-78dc-4fe3-86cf-640e5fc700f9,5cd0225e-f14a-48d5-93c5-550905c4ce1b,2024-03-07,59,197.72,Johnsonhaven
a6ad19ee-27c0-416b-b009-4bb3161f370a,6275c946-d2a4-448a-96be-2ab61b36c925,c0383f1a-c923-4c63-a5fc-c377204378ba,2024-04-04,10,95.47,Lake Mary
7de717e5-69ab-48f9-bfc2-5d7ac2bc6397,e592e665-0909-4e7e-b402-08f1f704c55a,141d58a9-821d-4ce7-8437-d2936864706b,2024-02-14,64,168.1,Reyesberg
10a7bb88-2b33-4d9d-bb4d-6e1abe535ec8,fa514e24-63fa-495c-894b-b0844ff64442,b9c8032d-d60c-40b6-907a-0960c571891f,2024-03-08,65,187.63,North Kristen
69263dce-cfa4-42d4-b485-c88e71fee6d8,6f189519-810c-42f8-836f-54db256d2f6e,18590a32-419c-42af-837f-8ec84ee9ecee,2024-04-11,31,113.04,Tammyfort
a7704530-fe58-4aec-805d-484ffad848a4,8a7763a8-e179-41da-8078-6d31394b8344,6559a79c-cb20-4de9-85b9-b3604e9219cc,2024-03-16,28,121.47,West Amy
da9a45c6-4045-4dd6-b129-ab6ea314860a,9f40651c-b78a-41be-a212-dbcb86cdc3a4,a19dae38-4918-4b97-bde3-d28c7ea4c088,2024-05-24,37,70.8,Lake Nancytown
555ed5fc-8697-48d5-b74f-f2a95a6317c1,34eba165-12dc-4014-83e0-759140eb546b,e0a553cd-5b2b-4904-8ff6-ad1af575fc1f,2024-02-08,87,92.02,North Nicoleberg
df207e7a-c073-4603-aac6-07f7035b70cf,e56f9ed8-ecad-46e3-9f82-13085bbfe32d,8b1bcaaf-bace-4086-aeef-221ff12c035d,2024-01-10,85,27.65,Underwoodview
21000efa-ee8c-4f57-a4ed-8bf310c050fc,3378f22f-cca0-44e6-93f2-835c51531463,6b41f6dc-6c15-4724-b862-6d6a7149f8a7,2024-05-26,60,131.31,North Richardhaven
47cac0bf-83a8-4804-9968-1cf7c2fe78af,112cf10c-a746-44db-81c6-bb4536e2d285,26e5e875-985a-4903-83ac-772fe864ad1a,2024-02-11,45,144.56,West Eugene
c251bf33-bb78-4eea-9690-d62822254ca8,3a9e01d8-ba39-4783-81e8-66a8f6df826a,30e8fcd8-5541-413c-be3a-5f6ca73005ac,2024-01-13,77,72.48,South Ericaport
a17f03e2-22e7-472f-912d-4ed3b7f6f39a,8b6d3309-34a8-4da1-9a95-017257747cb3,69c8494f-9472-41c1-aef4-b7aefac5d907,2024-01-29,78,164.5,Stephanieborough
10c33c6a-7c62-487b-a11b-376c27d23f39,b99e2039-0bf4-4322-b61f-9eafd380878e,e2cdaa57-3788-4946-996f-384bee467985,2024-02-11,92,83.98,Juliemouth
13d1537e-fe60-4596-8788-b5b1e89719d5,08b6dbcc-b940-4c65-8790-332a74455e0f,3d1f66e8-bd5e-4838-a684-ec78612959c6,2024-03-04,10,93.17,Andreachester
9dab4f1f-3237-44f6-9324-d676dd8e7eda,5f2689aa-da9d-4874-be5e-22ce4a513530,c0383f1a-c923-4c63-a5fc-c377204378ba,2024-05-13,41,63.08,East Lisa
f05c480a-9330-4406-80f0-821db6292d83,4c3f8684-0678-4f77-a1d3-f3220f0f44bc,6c60bbdd-0382-43e6-b53e-e0728c9b48e8,2024-04-18,90,52.5,Powellburgh
5fb54636-65e1-454f-8e31-e4954ed16300,1d52a1d4-b930-4d63-b92d-d5e4976d555a,e618963c-d756-497e-b404-d0a06e755f6c,2024-03-21,3,131.31,South Susanhaven
b4863b1e-6a11-425d-8041-978542063763,534d3c65-7d4a-4a4f-9ee7-8a8f2765f3e7,6c60bbdd-0382-43e6-b53e-e0728c9b48e8,2024-03-25,30,169.41,West Michelleport
a9854416-c0c9-4b29-a0ce-393594aa8646,812bdaed-172d-4056-9369-3eedd1d4f789,2a97c639-9432-4729-ae07-903c74c1f40e,2024-01-31,32,36.45,North Shawn
2784eabd-6f3f-4409-a010-8ab58a36ad9b,ac5dc8f1-a5e0-4581-9ec0-802256470938,4a9e974d-92fe-4833-9a1c-cd5019a5b393,2024-05-08,4,134.98,New Jasonport
9c3fb930-73bb-4597-bab6-b9388d86095b,d6c38c9c-87d2-4c17-a06e-f091544117a6,d766336d-76a4-425a-abeb-bf679e637af9,2024-05-27,49,124.73,Lake Renee
a526455f-1612-40df-8efc-1abdd2170e36,840fe556-7c9d-4762-a95a-88bdc998a4aa,7e4dea7c-9a11-438d-8fbb-0159746e94d4,2024-01-24,97,194.78,Fitzpatrickborough
6015b39a-cef8-4109-876d-892e4dac5ca0,6db10602-6688-4ba9-99a2-a4aa6c1e2e5c,ef60573a-7090-4ae6-80d7-7dd5a0fda412,2024-02-20,22,192.08,Jasonberg
07479f2e-ed7f-4fd2-b92b-32ec88485ee4,d2746fa8-69ee-40bc-89e3-c63c5f233cbe,b20089a1-0f66-4e4f-b8fb-f6172f113c1b,2024-02-01,17,82.96,New Dale
c3fd2629-842e-466a-8eca-045a00465424,e15a2e53-eb9b-45f9-8076-81601d25cdb0,b80d3a06-9996-4761-8726-242c1db50f15,2024-04-03,74,135.85,New Wyattmouth
f79c94f4-7bda-42f4-abdc-485560c39567,9a25d02d-9d80-4fba-9d66-58256da656a5,922afc7e-3e51-4137-9c48-63010352d712,2024-05-30,58,85.37,South Breanna
9a5e4748-5976-405c-b0ff-5ddb6c9230d2,24d0ac96-a048-46b4-8864-b7564fc76868,412f307e-dd99-4aa7-9c8c-07715e004008,2024-03-31,22,28.42,West Catherine
e83ef7c2-506a-4c0b-82de-572be9779a48,36aa9230-0c91-4a76-afb9-a65602e0dc0d,54bc1482-456e-49a5-a448-068cb7aedd8c,2024-05-23,86,151.83,Comptonburgh
57a1c3e0-9282-48f7-a180-2123b784d6a5,3fe81478-aa9c-41f6-9537-3a2bcb49a3ef,bea03c0e-541d-4da0-a80f-c508e00a77b1,2024-02-26,84,174.15,West Dianaview
3aa74ee7-1003-45ca-a2c4-bf33adcdbdc1,4f8b428c-d068-43a5-969c-6ad1a0698778,34c46aed-102f-4d85-8c91-dc3b135ededc,2024-03-05,22,172.44,Lake Samantha
8409f061-5842-41aa-bfea-325e87eea927,5c3da3da-96a8-4adf-8eb7-e1f6ba36056c,74eb52a8-fdf5-4ced-a04d-0108e5179370,2024-04-19,25,69.32,Andreamouth
a38f167c-3fd0-4db5-940f-b08bba52d6a5,77969708-9592-46f6-bff8-99eb07a44b58,51e240f5-e230-42d1-8407-36799fc1e773,2024-05-30,39,115.68,West Cindy
1434661c-dee5-4cb9-92d6-91cba8484399,019d33f6-85ef-4e7b-b6b3-f6075a5ac9a3,70ae0b4e-f1df-4cfc-b853-c20d2c6e4a5a,2024-05-11,72,124.18,Port Rebecca
451e22d6-778b-40be-87b0-c86db4d6061a,3051bfc9-539c-4c8d-acd3-579c11792d3c,0e94bee3-a38b-4c2d-a4d5-e2c30d93eb0f,2024-03-30,40,67.37,Bethanyberg
0828eba0-5e73-4669-a415-50a63a01a5fd,f8a9c9ed-0a6d-4c7b-9e15-1c7f509c81f6,1f5443ed-fa06-4777-812a-ad0a1cd51ecc,2024-05-17,30,69.85,Samanthastad
62b0201e-07ec-40a0-bedf-6df1219bf096,d799c34f-d82c-4495-b0eb-79ff330acfc2,1e1d5436-eee4-4820-9181-a6c7a310031d,2024-03-01,72,139.31,Buckleymouth
803388c1-44e5-4eb3-b444-bee78585ce70,e1c5a803-e124-4800-8c21-4c8d5d575187,cdd4bb76-2439-4daf-9208-0d2cce64697a,2024-05-27,39,167.83,Bryanport
5f9fe584-fef7-4d25-bba8-685453564a17,ba254fd4-ba7e-48a9-b24c-48fed956bde1,a8dbbbe2-0112-4218-bab3-8eb7281e1812,2024-02-07,15,78.08,West Lorrainechester
f62be144-2980-492e-94ff-2cb7e02c68da,a2d4727c-f53d-4c58-8191-9ff9b19cda7d,a82e314e-afa1-414f-94a8-004e8b7dbf6e,2024-04-10,61,60.1,Manuelbury
f367cee3-012e-42df-844c-17c841d757aa,5c106850-68a5-4aa3-9643-69b75089a72e,b8af0021-b8b2-4c34-9724-27f01f1c5db3,2024-05-12,72,173.42,South Anna
62412c62-7295-4802-a0ab-a6ed06a6faf1,3ab61092-5cef-42dc-913f-1f668f1f04aa,b6f66c7e-6286-4d7b-b4e9-3c83a3046671,2024-01-24,17,135.77,Christinestad
2ff81f11-11e1-4dc3-b035-cb13b33eeb70,e91ee52f-1236-4023-b1ef-0d6995d1d2e5,350bacec-938e-4631-a3b1-7fc812662fe7,2024-05-11,87,128.72,Higginsstad
a1745a18-2b3a-47a7-a714-15f68d91e2d6,b065b651-e183-46d4-9e73-b1bba1fa13b2,abdd6bf9-8d63-4b79-b777-6a3f093957ae,2024-04-14,9,58.05,East Theodore
15d47bb4-3f1d-406e-b7c0-21f2d17772d4,db522e23-a595-43b5-b715-c49f8a3b1314,8ea7ce39-8d23-46c6-9df2-0d38e3bcf9ad,2024-04-22,66,76.08,New Kathy
777f5894-12db-4791-9826-c3aeba6272d6,a7f2a00e-139b-41fd-888c-c462caea098e,38f335f1-e569-40b8-9d2e-a059d2b4433e,2024-05-20,30,160.49,Kellyfort
342aa3e0-3320-4126-aa69-d3769486fa52,c3aba614-af20-4b9c-8c66-a412ef8cb79b,82b78c8f-7e21-4e1f-a7ff-6da029ae108c,2024-04-28,26,139.76,Lake Christina
3b3ef28f-b82e-4da5-ace3-2a2f0af035d7,ab105002-d262-4a4c-8347-5afe7818b3da,2b98178f-8b37-44c2-86e0-2f328c92279a,2024-03-16,74,101.66,Lake Rachel
a921ebd7-951b-489a-aacb-e351b160d187,bfffd39f-1a4e-4811-bc9a-db60c9b2114f,255ec2b8-3939-43a4-ab43-3e109814533a,2024-02-28,59,82.59,Youngfurt
56783a5f-fb71-42a2-86df-d7bce2a9a0ce,f433ead8-a0e0-419a-a0ee-1b5b1dab3aed,cc4e640e-51ca-4b29-9c9e-856337cf5ab1,2024-05-08,27,35.07,Lake Veronicafort
2ace2a9c-9ad8-4b29-b7fb-8141899bada5,72c8b284-eb20-4071-a90d-9f6c446ec5aa,125412d6-4465-4111-aa65-69dadaa029fd,2024-05-30,81,110.82,Brayton
5d43d259-a000-4e40-8609-57bad128a57f,f8b95859-e7cb-4f20-b045-014ac3d5d857,ef60573a-7090-4ae6-80d7-7dd5a0fda412,2024-05-05,46,170.72,Port Elizabeth
7d2066e7-b31d-433f-9a2a-6887a18da0a8,a0172282-520d-42d6-99e3-f73205934dba,20e316ee-aa48-4879-b2e8-f2e5de938f06,2024-02-20,32,20.03,West Maryland
65e6f8a8-fc62-4cf6-b37d-086b3e03a956,d96bdbbf-0873-46c4-bd7c-657d0d9964b3,a925f840-8a02-4cab-a4fb-7388fcef398f,2024-01-07,31,121.34,Sherrymouth
b7b9583e-c29e-407c-b321-f20462abf91c,8e3ca139-4ef0-4bdd-bcb1-6101931b7320,a715e2a0-6a91-468e-9fe4-3f346ce21cca,2024-03-29,35,132.09,Ronaldburgh
97c1016d-900f-4efd-a623-38681d56fa46,147333a9-d371-43f9-8f98-58933e882d24,de2c75bf-eca5-458a-b555-5db7225af7c8,2024-04-01,18,169.87,Matthewhaven
17eefe13-743b-4b2c-b5f6-3fbc4e12deca,0fe9682c-1a1a-4d96-a49d-1ac68bc21994,2800978c-4398-416d-9323-5b117bc07906,2024-05-17,37,85.63,West Angelamouth
7d3fe3ca-9880-4393-972e-6c1d03c6a6dc,e1a8099a-1742-4a05-be0f-779c913a3db5,1077e928-e464-4689-af5e-27e17d00c714,2024-02-16,38,99.73,Lake Jennifer
1a35cc61-751f-4f9c-836b-3c0cceeb97e8,11cc7dd9-3627-4b6d-bef7-5a279e1868fe,fee033a5-9f47-4a30-b8e6-e4f8059a21b0,2024-04-30,44,141.06,Stantonview
17223b6d-c1d4-4cb7-8fa8-119a709045fc,a5eb3a12-8dd9-48cc-9e62-b6a47276c5bb,ed4ab1ff-77fe-49a5-9908-4d1d593c3fd0,2024-01-21,61,123.07,Fernandezbury
99b45682-7b95-45f4-8d82-10fa809b4b1f,0117211a-fa93-46b9-ab59-1277d61a16b6,c444b997-21ab-4b84-989a-0f473d43d6ca,2024-01-24,57,98.41,Gwendolynfurt
c809c6bb-0698-428e-b435-e2b7378a7db6,53e33a41-9198-4430-bc10-8705289ae0e1,e050eb4f-8f5b-4546-9247-ab9f3b66f047,2024-05-12,42,44.31,Saraville
36291035-ef22-4370-bff0-776a48b20fc0,b00c8ad8-b364-4b59-a98d-49c44de979c7,029a0e38-ae2f-4aa1-96af-ca34bb2baeb6,2024-01-16,69,149.96,Markstad
9616ccdf-78e0-4688-89e0-f2013149edd0,31254bad-4dd3-4625-980d-71c509bb376c,6149dd2e-f30e-4ecf-9a51-5cfde4055f4d,2024-03-24,40,71.43,Wilsonview
51081d1b-e53b-4006-b53a-9281412fc351,f22a1571-3586-44e7-98e6-c377d9efcc2a,01022073-1733-49f5-b049-5ecf8dcca2aa,2024-01-13,52,81.81,East Chadfort
8e5e644c-7a06-40b1-8a4c-8eef18924fc6,21afc39e-4da8-49e7-9cb1-5a6a35ea2bf8,3d2054b9-f38b-4c2f-9a9c-84936621fe94,2024-04-05,99,142.12,North Tiffany
6c0cc78c-47f7-47c5-9aa4-eef86be5346f,7e2fd17a-96f4-4ef1-9059-65f0bd0238af,cec7acb5-d5cc-42c0-b7d8-2cbc8da2d4a1,2024-01-30,96,115.47,West Josephburgh
